Formula,Dimension,B_Octa,X_Octa,DFT+U/HSE E_g (eV),Direct E_g (eV),Reduced effective mass μ,Optical absorption I,file_name
KCo2O3,3D,Co,O,0.03,0.03,0.24,1509.17,ICSD-248051_B_Pd_Co.cif
N6Re2SBa6,3D,S,Ba,0.06,0.09,0.34,2300.65,ICSD-419636_B_O_S.cif
Zn4Ga2O7 ,3D,Ga,O,0.87,0.87,0.16,1193.91,ICSD-247275_B_In_Ga.cif
CoOSb,3D,Co,O-Sb,0.91,0.91,0.59,1162.85,ICSD-624859_X_S_O.cif
Ca2GaCoO5,3D,Co,O,2.01,2.01,0.56,1422.81,ICSD-6320_B_Fe_Co.cif
Pt2NaS3,2D,Pt,S-Na,1.46,1.49,0.56,2124.06,ICSD-78788_X_Se_S.cif
O2InNa3,3D,O,Na-In,2.16,2.43,0.62,2868.41,ICSD-202028_X_Tl_In.cif
Cs5P5Se12,0D,P,Se,2.23,2.24,0.44,1155.66,ICSD-260945_B_As_P.cif
ZnRb2Bi2S5,2D,Bi,S,2.33,2.47,0.42,1299.26,ICSD-267980_X_Se_S.cif
Cs5P4SbSe12,0D,Sb,Se,2.33,2.39,0.66,1038.47,ICSD-260945_B_As_Sb.cif
TlNa3Rb2O4,3D,Rb,O,2.61,2.61,0.37,1157.53,ICSD-61402_B_K_Rb.cif
O2TlK3,3D,O,Tl-K,2.65,2.65,0.99,1767.37,ICSD-202028_X_Na_K.cif
InFK6Te4,3D,K,Te,2.75,2.75,0.26,1164.75,ICSD-79543_B_Cl_F.cif
RbTe2ScO6,3D,Sc,O,3.02,3.02,0.97,1086.86,ICSD-291296_B_Y_Sc.cif
Ge3Tl2ZrO9,3D,Zr,O,3.12,3.14,0.66,1080.85,ICSD-19029_B_Ti_Zr.cif
Ag2Rb4SbBr9,2D,Sb,Br,3.23,3.23,0.53,1345.74,ICSD-403158_B_Bi_Sb.cif
Ag2Rb4BiCl9,2D,Bi,Cl,3.99,4.08,0.66,1272.25,ICSD-403158_X_Br_Cl.cif
ZnNa2I4,3D,Na,I,4.3,4.3,0.35,1124.24,ICSD-69034_B_Li_Na.cif
HSeAlO4,2D,Al,O,5.48,5.48,0.9,1241.95,ICSD-422882_B_Ga_Al.cif
